generator,parent_bite_id,take,rms_position_error_m,rms_orientation_error_rad,final_position_error_m,path_length_absolute_error_m,mean_position_error_m,mean_orientation_error_rad
contextual_promp,trial_0012_bite_001,trial_0012,0.08176743553123536,0.43143899519802714,0.14556748008576925,0.05741421618742762,0.06842490720880591,0.3575336088619479
contextual_promp,trial_0012_bite_002,trial_0012,0.0772702490368069,0.17162922363412159,0.050848740326626354,0.03211300185018234,0.06971989753109017,0.15702093369655235
contextual_promp,trial_0012_bite_003,trial_0012,0.07865141417420976,0.3352697527091726,0.11551101230459572,0.048535817295079,0.06753813620637478,0.27547503491151853
contextual_promp,trial_0012_bite_004,trial_0012,0.05486071932455952,0.28547321397219333,0.04301356540865793,0.027648457827571526,0.048986307126159895,0.247688938422735
contextual_promp,trial_0012_bite_005,trial_0012,0.06762475900735422,0.4778345306091601,0.05444858072660898,0.023234708679541194,0.062314591221677734,0.4167693164679642
contextual_promp,trial_0012_bite_006,trial_0012,0.0640898413601122,0.5231900073626474,0.02756318907368179,0.02615440620113252,0.054394964520204744,0.44478980081846686
contextual_promp,trial_0012_bite_007,trial_0012,0.0667075057045943,0.38183114561054027,0.036681649074383496,0.03219347333478706,0.057405973015318815,0.33164609603428546
contextual_promp,trial_0012_bite_008,trial_0012,0.07906277246368176,0.2842696127510132,0.06026073348635484,0.034031699385776604,0.07052020225264269,0.25429588706608103
contextual_promp,trial_0012_bite_009,trial_0012,0.11433973340621012,0.3650041026636269,0.14441116357216133,0.1507526968639576,0.09478150541757412,0.304167145860615
contextual_promp,trial_0012_bite_010,trial_0012,0.06551583730633803,0.39463726993691717,0.07586858991514428,0.029959176190873127,0.05901888436479997,0.3500889597509002
contextual_promp,trial_0012_bite_011,trial_0012,0.1330220291843686,0.3762729838149743,0.11197060815076668,0.08610743821614836,0.11897054727492443,0.33338077028092017
contextual_promp,trial_0012_bite_012,trial_0012,0.06743653222135344,0.19873531462468508,0.10820609041069956,0.020947311919187694,0.06099320276189249,0.1706848379976325
contextual_promp,trial_0012_bite_013,trial_0012,0.050569015558654194,0.27739612331344077,0.07119877976941405,0.023303629324709085,0.0460969873509685,0.23897415107602027
contextual_promp,trial_0012_bite_014,trial_0012,0.08136744316243533,0.2830329338043126,0.10934319210517826,0.06461065628204499,0.07325525297715166,0.24122126455938453
contextual_promp,trial_0012_bite_015,trial_0012,0.0895631631617419,0.4382841579125081,0.13423181751603627,0.10059679407946559,0.08086877692277457,0.3594074426229169
contextual_promp,trial_0013_bite_001,trial_0013,0.07379123402965668,0.29124729944950734,0.12415247982000072,0.10760940242903264,0.0576655181096353,0.24470823593443974
contextual_promp,trial_0013_bite_002,trial_0013,0.07068927352956791,0.1818028271162575,0.03871118389864846,0.04825778042408352,0.0618998957528872,0.1610348174434259
contextual_promp,trial_0013_bite_003,trial_0013,0.0771264200835539,0.2783222085201446,0.10075091089427637,0.056708669530207256,0.0654734241296665,0.23133494244278488
contextual_promp,trial_0013_bite_004,trial_0013,0.05787275420004786,0.29291461809061914,0.09601134155545361,0.06748902917357613,0.04517321590662597,0.25245140571360736
contextual_promp,trial_0013_bite_005,trial_0013,0.10904339969801441,0.5665867421081131,0.14270915846789572,0.12735098468217124,0.09428331941234362,0.4887889512090786
contextual_promp,trial_0013_bite_006,trial_0013,0.09769396630620833,0.4392896774376865,0.13008399986123995,0.10396256466431134,0.08073141804522728,0.3445124371776686
contextual_promp,trial_0013_bite_007,trial_0013,0.06514244960816033,0.32410781645034803,0.03978737026925114,0.06596368927509932,0.059800755872558654,0.28597778263529827
contextual_promp,trial_0013_bite_008,trial_0013,0.06041765388909077,0.160992118155313,0.019174948075258623,0.019928610977991063,0.05100020134393549,0.1449993896248772
