record_id,parent_bite_id,take,phase,generator,strategy,first_frame_success,successful_frames,frame_success_rate,complete_trajectory_success,continuity_violations,continuous_frame_percent,longest_continuous_section_frames,complete_pipeline_success,branch_changes,joint_travel_rad,rms_joint_velocity_rad_s,rms_joint_acceleration_rad_s2,rms_joint_jerk_rad_s3,JOINT_LIMIT,NO_VALID_BRANCH,NO_FEASIBLE_PSI,INPUT_NOT_SOLVED,provisional_timing_diagnostic,aligned_pinch_position_error_m_max,aligned_pinch_position_error_m_rms,aligned_pinch_orientation_error_rad_max,aligned_pinch_orientation_error_rad_rms,psi_error_rad_max,psi_error_rad_rms,virtual_utensil_position_error_m_max,virtual_utensil_position_error_m_rms,virtual_utensil_orientation_error_rad_max,virtual_utensil_orientation_error_rad_rms,joint_limit_margin_min_rad
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,B0,True,71,0.7029702970297029,False,0,1.0,71,False,0,4.812585777853118,1.1979512585285226,34.78821209299723,1897.3491106321956,0,30,0,0,True,1.6135566445510782e-10,4.1138110109106054e-11,9.637595776980963e-10,2.456922219481626e-10,7.505107646466058e-14,3.1970991484565756e-14,1.6135566445510782e-10,4.1138110109106054e-11,9.63759577698097e-10,2.456922219481628e-10,0.2920848488323866
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,StrongLocal,True,71,0.7029702970297029,False,0,1.0,71,False,0,5.08379267269374,1.716473139592939,68.04514313107633,3729.6838569303745,0,30,0,0,True,5.989254006923065e-11,2.1086080862690637e-11,3.574766675253441e-10,1.2590912575780155e-10,1.6342482922482304e-13,4.283931746629327e-14,5.989254006923065e-11,2.1086080862690637e-11,3.5747666752534443e-10,1.2590912575780163e-10,0.255187972006258
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,RobotSmooth,True,72,0.7128712871287128,False,0,1.0,72,False,0,5.230831525567634,1.5180156111791638,62.150371883062725,4685.296015342365,0,0,1,29,True,8.73551196494013e-11,3.278289400259972e-11,5.215112971390864e-10,1.957740701786067e-10,3.099742684753437e-13,5.056840753754669e-14,8.73551196494013e-11,3.278289400259972e-11,5.215112971390869e-10,1.9577407017860683e-10,0.199937145253263
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,B0,True,59,0.5841584158415841,False,0,1.0,59,False,0,3.871699803016427,1.2985949406657145,38.337493355311004,1725.9330764488195,0,42,0,0,True,4.786496139719501e-11,2.329146061017106e-11,2.859144543539537e-10,1.390923525466618e-10,1.2168044349891716e-13,4.185534064526856e-14,4.786496139719501e-11,2.329146061017106e-11,2.859144543539539e-10,1.3909235254666187e-10,0.3093893232300413
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,StrongLocal,True,59,0.5841584158415841,False,0,1.0,59,False,0,4.253293784988285,1.825794739696115,66.08834638527604,3278.685670474205,0,42,0,0,True,4.372275574264975e-11,1.811293678525929e-11,2.6110015876405325e-10,1.0816995536093028e-10,1.7497114868092467e-13,5.277195802021592e-14,4.372275574264975e-11,1.811293678525929e-11,2.611001587640534e-10,1.0816995536093034e-10,0.2756731920458311
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,RobotSmooth,True,60,0.594059405940594,False,0,1.0,60,False,0,3.6755328185872296,0.9435518684790237,35.08269729036035,3676.5554010450915,0,0,1,41,True,5.649079260404288e-11,1.9628251214493438e-11,3.3708192822041744e-10,1.1719390591470685e-10,1.7363888105137448e-13,4.772908912032955e-14,5.649079260404288e-11,1.9628251214493438e-11,3.3708192822041764e-10,1.1719390591470693e-10,0.3126582206072328
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,B0,True,101,1.0,True,0,1.0,101,True,0,7.136050923785815,1.3095327143008517,22.014899737196135,2092.1485614156795,0,0,0,0,True,1.8856184378848358e-10,6.358460628306578e-11,1.1263600099634635e-09,3.7969898531812117e-10,1.0880185641326534e-13,3.400312250987554e-14,1.8856184378848358e-10,6.358460628306578e-11,1.1263600099634641e-09,3.7969898531812143e-10,0.17106934975446197
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,StrongLocal,True,101,1.0,True,0,1.0,101,True,0,6.860383253539339,1.282468420924067,31.83462397832749,4183.915082304842,0,0,0,0,True,3.0841875938647984e-10,6.355881436526234e-11,1.8418805872883731e-09,3.7956347017491063e-10,6.661338147750939e-14,2.0778289752148757e-14,3.0841875938647984e-10,6.355881436526234e-11,1.8418805872883748e-09,3.795634701749109e-10,0.3259060518722805
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,RobotSmooth,True,101,1.0,True,0,1.0,101,True,0,7.136050921714167,1.3095327141646744,22.014899632048174,2092.1485430945263,0,0,0,0,True,2.4685668327427494e-10,6.850721572848417e-11,1.474044407027661e-09,4.0909225886335154e-10,1.1057821325266559e-13,3.391296072707493e-14,2.4685668327427494e-10,6.850721572848417e-11,1.4740444070276621e-09,4.090922588633518e-10,0.17106934975446197
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,B0,True,101,1.0,True,0,1.0,101,True,0,7.150717707640891,1.2818982866623256,6.367770382426953,62.14738187294879,0,0,0,0,True,2.8709301542416155e-10,5.761091793472902e-11,1.7145035842901518e-09,3.440578192595834e-10,1.0969003483296547e-13,3.055709396384499e-14,2.8709301542416155e-10,5.761091793472902e-11,1.7145035842901535e-09,3.4405781925958366e-10,0.192170907794881
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,StrongLocal,True,101,1.0,True,0,1.0,101,True,0,6.659772540260385,1.2380369649716017,7.498814278790178,389.6283445754903,0,0,0,0,True,1.693225912261252e-10,4.8123759067152496e-11,1.0109975225697874e-09,2.8735883843228685e-10,7.37188088351104e-14,2.008824283725687e-14,1.693225912261252e-10,4.8123759067152496e-11,1.010997522569788e-09,2.8735883843228706e-10,0.3259060518722805
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,RobotSmooth,True,101,1.0,True,0,1.0,101,True,0,7.150717705919456,1.2818982866193607,6.36777039149517,62.147382347477645,0,0,0,0,True,1.8717313812170913e-10,5.7075177438063627e-11,1.117923552854485e-09,3.4082692679367483e-10,1.1057821325266559e-13,3.2656099486506706e-14,1.8717313812170913e-10,5.7075177438063627e-11,1.1179235528544856e-09,3.4082692679367504e-10,0.1921709077926561
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,B0,True,66,0.6534653465346535,False,0,1.0,66,False,0,5.867846957450025,1.3750706303964395,39.334482325723194,2242.6565034219384,0,35,0,0,True,1.7354123172954468e-10,5.00570601677523e-11,1.0364729047049584e-09,2.9894645895161204e-10,9.681144774731365e-14,3.8300895131657415e-14,1.7354123172954468e-10,5.00570601677523e-11,1.036472904704959e-09,2.989464589516123e-10,0.29012074527032006
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,StrongLocal,True,66,0.6534653465346535,False,0,1.0,66,False,0,6.644176375073645,2.6047496477899106,120.9409711988632,6974.107712316213,0,35,0,0,True,7.657212948985902e-11,3.464122447426279e-11,4.575051788964411e-10,2.068838993230683e-10,2.007283228522283e-13,5.2583061812394235e-14,7.657212948985902e-11,3.464122447426279e-11,4.5750517889644153e-10,2.0688389932306852e-10,0.2425148457122539
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,RobotSmooth,True,66,0.6534653465346535,False,0,1.0,66,False,0,5.5635652760975995,1.1418385706330672,32.40925377824474,3519.319122504243,0,0,1,35,True,1.688751698641333e-10,4.976185766297993e-11,1.0084837709575148e-09,2.9718207068047286e-10,1.0835776720341528e-13,3.919578550083427e-14,1.688751698641333e-10,4.976185766297993e-11,1.0084837709575156e-09,2.971820706804731e-10,0.30316230305917635
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,B0,True,83,0.8217821782178217,False,0,1.0,83,False,0,5.980358808669018,1.4033057314541655,56.62257775064855,3251.59425319403,0,18,0,0,True,2.9330848110338516e-10,7.012980375632536e-11,1.751488617068514e-09,4.187910085735174e-10,1.6076029396572267e-13,4.554550376629825e-14,2.9330848110338516e-10,7.012980375632536e-11,1.7514886170685155e-09,4.187910085735177e-10,0.1991413838767162
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,StrongLocal,True,82,0.8118811881188119,False,0,1.0,82,False,0,5.88522998901184,1.6077145379957336,58.628737009180455,3005.0649579078745,0,19,0,0,True,1.1479149509518972e-10,3.8210455071709464e-11,6.854882573998335e-10,2.2815846067470344e-10,2.531308496145357e-13,5.086061714723559e-14,1.1479149509518972e-10,3.8210455071709464e-11,6.854882573998341e-10,2.2815846067470368e-10,0.19130293874427728
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,RobotSmooth,True,83,0.8217821782178217,False,0,1.0,83,False,0,5.483414862356836,0.9057075478722659,28.07455476448206,2565.0210473388565,0,0,1,18,True,1.561502998521956e-10,6.137386814195633e-11,9.323729194790017e-10,3.664996108410837e-10,1.1679546219056647e-13,3.9347430836795546e-14,1.561502998521956e-10,6.137386814195633e-11,9.323729194790027e-10,3.6649961084108407e-10,0.20545230399230974
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,retrieval,B0,True,75,0.7425742574257426,False,1,0.9866666666666667,73,False,0,7.354220572203757,1.994579389010533,30.0789675143902,2443.6067072251635,26,0,0,0,True,2.3581163252256685e-10,7.282534035449727e-11,1.4084457284068527e-09,4.3489973001783154e-10,1.0613732115416497e-13,3.2102868749447254e-14,2.3581163252256685e-10,7.282534035449727e-11,1.408445728406854e-09,4.3489973001783195e-10,0.0004501542153061422
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,retrieval,StrongLocal,True,101,1.0,True,0,1.0,101,True,0,7.568769840932234,1.6468646601337236,34.15560485851025,3561.9713473141246,0,0,0,0,True,9.079855899405478e-10,2.401294605505727e-10,5.422268854090899e-09,1.434010112808674e-09,5.551115123125783e-14,1.5743647594240846e-14,9.079855899405478e-10,2.401294605505727e-10,5.422268854090904e-09,1.4340101128086752e-09,0.32553580552414285
