record_id,parent_bite_id,bite_id,phase,segment_index,motive_frame,time_s,psi,old_wrist_B_x,old_wrist_B_y,old_wrist_B_z,fork_B_x,fork_B_y,fork_B_z,old_to_fork_orientation_rad,relative_rotation_x,relative_rotation_y,relative_rotation_z,joint1_to_old_wrist_m,joint1_to_fork_m,old_wrist_to_fork_m,status_A,position_error_A_m,orientation_error_A_rad,psi_error_A_rad,status_B,position_error_B_m,orientation_error_B_rad,psi_error_B_rad,status_C,position_error_C_m,orientation_error_C_rad,psi_error_C_rad,status_D,position_error_D_m,orientation_error_D_rad,psi_error_D_rad,official_phase2_status_D,status_A2,status_D2
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,0,315,0.0,-2.894375877838511,-0.123413887,0.075392563,0.119656189,0.005755899,0.090920344,0.141713321,1.5707663662440303,6.349333933515359e-06,-8.36102872992974e-06,1.570766366208945,0.5334490229881215,0.6058773801234755,0.13195629075620147,SUCCESS_EXACT,1.0435689554598883e-11,6.214780280713177e-11,4.263256414560601e-14,SUCCESS_EXACT,2.6145501474655147e-11,1.5599575670671865e-10,3.552713678800501e-14,SUCCESS_EXACT,4.303753823158393e-12,2.5777779783825477e-11,8.348877145181177e-14,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,1,316,0.01,-2.892145037101939,-0.12303469800000001,0.076925674,0.121827621,0.006093666,0.092651561,0.143662632,1.5707688841762188,5.769721496865022e-06,-8.48831767217895e-06,1.5707688841426866,0.5319346241578481,0.6048613599564929,0.13190225781472956,SUCCESS_EXACT,8.30614824730537e-12,4.9591963948695605e-11,1.7763568394002505e-15,SUCCESS_EXACT,4.631620303350041e-11,2.7647967137666283e-10,3.241851231905457e-14,SUCCESS_EXACT,4.364581167496705e-11,2.6082134621668965e-10,1.794120407794253e-13,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,2,317,0.02,-2.88961721020184,-0.122504402,0.078947716,0.12410517900000001,0.006407812,0.09460336,0.145535514,1.5707536319233126,1.2042451121470074e-05,-1.0639972200967203e-05,1.5707536318411133,0.5304320955824889,0.6038905834036086,0.13161579451436958,SUCCESS_EXACT,4.968978306390425e-12,2.960158112426788e-11,1.2878587085651816e-14,SUCCESS_EXACT,8.387471760316548e-13,5.110382930087339e-12,1.687538997430238e-14,SUCCESS_EXACT,4.384442488849795e-11,2.620545362711958e-10,2.313704783318826e-13,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,3,318,0.03,-2.8889147189935893,-0.12201197800000001,0.08128257800000001,0.1263116,0.006853135,0.096704669,0.147497535,1.5707588746307746,9.760128303341795e-06,-1.0783295927076866e-05,1.5707588745634375,0.528973033757266,0.6029739614371341,0.13150247937259316,SUCCESS_EXACT,2.0188086473447865e-11,1.2047483452755802e-10,1.7763568394002505e-14,SUCCESS_EXACT,2.185465171620054e-11,1.3049228069409858e-10,1.7763568394002505e-15,SUCCESS_EXACT,1.2776853274670487e-11,7.635986692791196e-11,5.684341886080802e-14,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,4,319,0.04,-2.888531689885688,-0.121283318,0.083673615,0.128702438,0.007261662,0.099044658,0.149672568,1.5707534194223443,8.946503072304894e-06,-1.312786265141903e-05,1.5707534193420065,0.5275317686738679,0.6019083302492955,0.1311481116841762,SUCCESS_EXACT,4.15530560632944e-12,2.4981159175109303e-11,4.3520742565306136e-14,SUCCESS_EXACT,9.796511721548576e-13,5.86566727639319e-12,1.2434497875801753e-14,SUCCESS_EXACT,2.3219907548256014e-11,1.3846126263633205e-10,2.19824158875781e-13,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,5,320,0.05,-2.887683784382774,-0.12067820000000001,0.086045593,0.131203354,0.007818337,0.101494968,0.152057514,1.570767475899428,5.5937541095078445e-06,-1.0017043431610588e-05,1.5707674758575276,0.5259461848737923,0.600837161657087,0.13109133914255586,SUCCESS_EXACT,7.071764929528031e-12,4.2224518035536675e-11,6.661338147750939e-15,SUCCESS_EXACT,2.3352483180868586e-11,1.3923113551094516e-10,5.995204332975845e-14,SUCCESS_EXACT,1.2034977853610886e-11,7.180222783623648e-11,7.194245199571014e-14,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,6,321,0.06,-2.885278210078965,-0.120141342,0.08843737,0.13390382399999998,0.008351495,0.104259126,0.154825374,1.5707638859389366,7.156479127303911e-06,-1.1314625301831585e-05,1.5707638858818829,0.5241810079522228,0.5995281749238279,0.13114285484781318,SUCCESS_EXACT,2.5507239763373952e-11,1.5206468278257887e-10,6.261657858885883e-14,SUCCESS_EXACT,2.291921235159599e-12,1.3618156666018522e-11,1.3766765505351941e-14,SUCCESS_EXACT,1.6486868584644892e-11,9.874256100616187e-11,3.268496584496461e-13,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,7,322,0.07,-2.8857298214300076,-0.11947919500000001,0.090972435,0.136574265,0.008939993,0.106989652,0.157946974,1.5707640299909706,9.756031935913884e-06,-9.699442977751477e-06,1.5707640299307262,0.5225389631493984,0.5980561987709923,0.13116719016965758,SUCCESS_EXACT,3.8945137221121084e-11,2.327428592868171e-10,4.218847493575595e-14,SUCCESS_EXACT,1.0593794495034765e-11,6.317339016993666e-11,2.353672812205332e-14,SUCCESS_EXACT,2.401516344191469e-11,1.4343863699853538e-10,2.4424906541753444e-14,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,8,323,0.08,-2.8830161757294515,-0.118126961,0.094366959,0.139324783,0.009493756,0.109776109,0.160993323,1.570784557839548,1.5882499162041846e-06,-4.848420962254593e-06,1.5707845578312623,0.5213073759421265,0.5966336221524786,0.13036109441489124,SUCCESS_EXACT,4.348735860930396e-11,2.597783691287244e-10,1.4654943925052066e-14,SUCCESS_EXACT,1.984323669071196e-12,1.1686821865591183e-11,3.8191672047105385e-14,SUCCESS_EXACT,2.1492145746604922e-11,1.285194476450294e-10,2.0872192862952943e-13,JOINT_LIMIT,,,,JOINT_LIMIT,SUCCESS_EXACT,JOINT_LIMIT
trial_0012_bite_001_transfer,trial_0012_bite_001,1,transfer,9,324,0.09,-2.8817040430475593,-0.11726083400000001,0.097405342,0.14247178600000002,0.010239462,0.112792782,0.164031982,1.570765776976335,5.6291800038017e-06,-8.443503901807642e-06,1.5707657769435546,0.5194897452962167,0.595400006387359,0.13022265870961022,SUCCESS_EXACT,4.4344968181249965e-12,2.6362966615612217e-11,3.064215547965432e-14,SUCCESS_EXACT,1.6159849898686033e-11,9.627114613493844e-11,6.261657858885883e-14,SUCCESS_EXACT,1.1856141068318173e-11,7.078685265153319e-11,2.7977620220553945e-14,SUCCESS_EXACT,1.8909831555566083e-11,1.130551899929854e-10,2.149391775674303e-13,SUCCESS_EXACT,SUCCESS_EXACT,SUCCESS_EXACT
